run_timestamp,operation,sample_index,elapsed_ms,client_id,request_id,request_index,client_host,logged_at
20260725_095103,get_vla_action,1,301.651,simple_inference,call-001,1,local,2026-07-25T09:51:08
20260725_095103,get_vla_action,2,90.1068,simple_inference,call-002,2,local,2026-07-25T09:51:08
20260725_095103,get_vla_action,3,87.6485,simple_inference,call-003,3,local,2026-07-25T09:51:08
20260725_095103,get_vla_action,4,87.4723,simple_inference,call-004,4,local,2026-07-25T09:51:08
20260725_095103,get_vla_action,5,87.8016,simple_inference,call-005,5,local,2026-07-25T09:51:08
20260725_095103,get_vla_action,6,87.5041,simple_inference,call-006,6,local,2026-07-25T09:51:09
20260725_095103,get_vla_action,7,87.5141,simple_inference,call-007,7,local,2026-07-25T09:51:09
20260725_095103,get_vla_action,8,87.4787,simple_inference,call-008,8,local,2026-07-25T09:51:09
20260725_095103,get_vla_action,9,87.8382,simple_inference,call-009,9,local,2026-07-25T09:51:09
20260725_095103,get_vla_action,10,87.7156,simple_inference,call-010,10,local,2026-07-25T09:51:09
20260725_095103,get_vla_action,11,87.3909,simple_inference,call-011,11,local,2026-07-25T09:51:09
20260725_095103,get_vla_action,12,87.2982,simple_inference,call-012,12,local,2026-07-25T09:51:09
20260725_095103,get_vla_action,13,87.6451,simple_inference,call-013,13,local,2026-07-25T09:51:09
20260725_095103,get_vla_action,14,87.4502,simple_inference,call-014,14,local,2026-07-25T09:51:09
20260725_095103,get_vla_action,15,87.2993,simple_inference,call-015,15,local,2026-07-25T09:51:09
20260725_095103,get_vla_action,16,87.2622,simple_inference,call-016,16,local,2026-07-25T09:51:09
20260725_095103,get_vla_action,17,87.3636,simple_inference,call-017,17,local,2026-07-25T09:51:10
20260725_095103,get_vla_action,18,87.5635,simple_inference,call-018,18,local,2026-07-25T09:51:10
20260725_095103,get_vla_action,19,87.5977,simple_inference,call-019,19,local,2026-07-25T09:51:10
20260725_095103,get_vla_action,20,87.4673,simple_inference,call-020,20,local,2026-07-25T09:51:10
20260725_095103,get_vla_action,21,88.5518,simple_inference,call-021,21,local,2026-07-25T09:51:10
20260725_095103,get_vla_action,22,87.4961,simple_inference,call-022,22,local,2026-07-25T09:51:10
20260725_095103,get_vla_action,23,87.3999,simple_inference,call-023,23,local,2026-07-25T09:51:10
20260725_095103,get_vla_action,24,87.6014,simple_inference,call-024,24,local,2026-07-25T09:51:10
20260725_095103,get_vla_action,25,87.3421,simple_inference,call-025,25,local,2026-07-25T09:51:10
20260725_095103,get_vla_action,26,87.6467,simple_inference,call-026,26,local,2026-07-25T09:51:10
20260725_095103,get_vla_action,27,87.4948,simple_inference,call-027,27,local,2026-07-25T09:51:10
20260725_095103,get_vla_action,28,87.7417,simple_inference,call-028,28,local,2026-07-25T09:51:11
20260725_095103,get_vla_action,29,87.4358,simple_inference,call-029,29,local,2026-07-25T09:51:11
20260725_095103,get_vla_action,30,87.3652,simple_inference,call-030,30,local,2026-07-25T09:51:11
20260725_095103,get_vla_action,31,87.3396,simple_inference,call-031,31,local,2026-07-25T09:51:11
20260725_095103,get_vla_action,32,87.3715,simple_inference,call-032,32,local,2026-07-25T09:51:11
20260725_095103,get_vla_action,33,87.6737,simple_inference,call-033,33,local,2026-07-25T09:51:11
20260725_095103,get_vla_action,34,87.5049,simple_inference,call-034,34,local,2026-07-25T09:51:11
20260725_095103,get_vla_action,35,87.6436,simple_inference,call-035,35,local,2026-07-25T09:51:11
20260725_095103,get_vla_action,36,87.3959,simple_inference,call-036,36,local,2026-07-25T09:51:11
20260725_095103,get_vla_action,37,87.4001,simple_inference,call-037,37,local,2026-07-25T09:51:11
20260725_095103,get_vla_action,38,87.7964,simple_inference,call-038,38,local,2026-07-25T09:51:11
20260725_095103,get_vla_action,39,87.4327,simple_inference,call-039,39,local,2026-07-25T09:51:11
20260725_095103,get_vla_action,40,87.4286,simple_inference,call-040,40,local,2026-07-25T09:51:12
20260725_095103,get_vla_action,41,87.357,simple_inference,call-041,41,local,2026-07-25T09:51:12
